2020-03-31 15:38:05,376 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 15:39:30,051 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 15:39:30,053 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 15:39:30,055 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 15:39:30,056 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:00:27,797 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:00:27,842 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:00:27,949 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:00:27,953 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:02:27,911 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:02:27,913 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:02:27,916 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:02:27,918 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:03:04,750 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:03:04,753 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:03:04,756 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:03:04,759 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:05:14,428 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:05:14,430 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:05:14,433 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:05:14,435 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:14:58,510 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:14:58,512 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:14:58,514 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:14:58,561 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:16:03,270 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:16:03,272 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:16:03,273 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:16:03,276 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:17:36,260 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:17:36,961 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:17:36,965 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:17:36,968 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:17:48,492 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:17:48,496 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:17:48,498 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:17:48,500 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:18:12,147 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:18:12,150 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:18:12,154 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:18:12,157 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:18:22,923 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:18:22,927 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:18:22,930 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:18:22,932 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:18:51,801 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:18:51,839 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:18:51,857 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:18:51,871 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:19:00,030 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:19:00,320 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:19:00,352 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:19:00,359 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:19:59,792 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:19:59,797 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:19:59,799 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:19:59,801 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:20:21,719 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:20:21,720 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:20:21,722 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:20:21,724 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:20:32,402 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:20:32,404 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:20:32,449 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:20:32,451 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:20:57,115 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:20:57,117 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:20:57,118 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:20:57,121 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:21:26,130 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:21:26,132 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:21:26,134 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:21:26,137 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:23:40,037 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:23:40,039 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:23:40,065 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:23:40,068 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:27:41,352 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:27:41,354 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-03-31 16:27:41,404 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:27:41,407 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:00,540 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:00,545 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:00,547 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:00,550 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:27,780 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:27,782 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:27,784 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:27,787 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:43,285 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:43,290 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:43,292 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:43,373 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:50,574 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:50,576 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:50,578 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:50,580 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:58,028 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:58,030 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:29:58,060 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:29:58,062 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:30:44,048 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:30:44,052 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2020-03-31 16:30:44,055 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:30:44,056 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:38:23,795 [Worker-79] WARN  o.e.r.models.ModelRepository - Failed to download org.eclipse.recommenders:index::zip:0.0.0
org.eclipse.aether.resolution.ArtifactResolutionException: Could not find artifact org.eclipse.recommenders:index:zip:0.0.0-SNAPSHOT in models (http://download.eclipse.org/recommenders/models/mars/)
	at org.eclipse.aether.internal.impl.DefaultArtifactResolver.resolve(DefaultArtifactResolver.java:444) ~[na:na]
	at org.eclipse.aether.internal.impl.DefaultArtifactResolver.resolveArtifacts(DefaultArtifactResolver.java:246) ~[na:na]
	at org.eclipse.aether.internal.impl.DefaultArtifactResolver.resolveArtifact(DefaultArtifactResolver.java:223) ~[na:na]
	at org.eclipse.aether.internal.impl.DefaultRepositorySystem.resolveArtifact(DefaultRepositorySystem.java:294) ~[na:na]
	at org.eclipse.recommenders.models.ModelRepository.resolveInternal(ModelRepository.java:192) [org.eclipse.recommenders.models_2.2.4.v20150914-0857.jar:na]
	at org.eclipse.recommenders.models.ModelRepository.resolve(ModelRepository.java:174) [org.eclipse.recommenders.models_2.2.4.v20150914-0857.jar:na]
	at org.eclipse.recommenders.internal.models.rcp.EclipseModelRepository.resolve(EclipseModelRepository.java:167) [org.eclipse.recommenders.models.rcp_2.2.4.v20150914-0857.jar:na]
	at org.eclipse.recommenders.internal.models.rcp.DownloadModelArchiveJob.run(DownloadModelArchiveJob.java:76) [org.eclipse.recommenders.models.rcp_2.2.4.v20150914-0857.jar:na]
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:55) [org.eclipse.core.jobs_3.7.0.v20150330-2103.jar:na]
Caused by: org.eclipse.aether.transfer.ArtifactNotFoundException: Could not find artifact org.eclipse.recommenders:index:zip:0.0.0-SNAPSHOT in models (http://download.eclipse.org/recommenders/models/mars/)
	at org.eclipse.aether.connector.basic.ArtifactTransportListener.transferFailed(ArtifactTransportListener.java:39) ~[org.eclipse.aether.connector.basic_1.0.1.v20141111.jar:na]
	at org.eclipse.aether.connector.basic.BasicRepositoryConnector$TaskRunner.run(BasicRepositoryConnector.java:355) ~[org.eclipse.aether.connector.basic_1.0.1.v20141111.jar:na]
	at org.eclipse.aether.util.concurrency.RunnableErrorForwarder$1.run(RunnableErrorForwarder.java:67) ~[na:na]
	at org.eclipse.aether.connector.basic.BasicRepositoryConnector$DirectExecutor.execute(BasicRepositoryConnector.java:581) ~[org.eclipse.aether.connector.basic_1.0.1.v20141111.jar:na]
	at org.eclipse.aether.connector.basic.BasicRepositoryConnector.get(BasicRepositoryConnector.java:249) ~[org.eclipse.aether.connector.basic_1.0.1.v20141111.jar:na]
	at org.eclipse.aether.internal.impl.DefaultArtifactResolver.performDownloads(DefaultArtifactResolver.java:520) ~[na:na]
	at org.eclipse.aether.internal.impl.DefaultArtifactResolver.resolve(DefaultArtifactResolver.java:421) ~[na:na]
	... 8 common frames omitted
2020-03-31 16:41:16,890 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:41:16,894 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2020-03-31 16:41:16,896 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:41:16,898 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:44:37,241 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:44:37,243 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:44:37,245 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:44:37,247 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:44:42,039 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:44:42,041 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:44:42,043 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:44:42,045 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:46:37,276 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:46:37,278 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:46:37,307 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
